station name,distance,event,location,magnitude of event,type of magnitude,max amplitude,frequency band
SDD,361.44963360469444,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,3.3225689045487146e-05,"(0.5, 0.75)"
SDV,1098.8152708496646,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,4.119723795278454e-07,"(0.5, 0.75)"
SJG,761.0432727666753,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.353451771236439e-06,"(0.5, 0.75)"
SJG,761.0432727666753,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.361655984696733e-06,"(0.5, 0.75)"
SABA,1072.8768161119392,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,4.446023075193082e-07,"(0.5, 0.75)"
SMRT,1086.2665230229065,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,2.9180384166925737e-07,"(0.5, 0.75)"
OBIP,713.448183212566,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.0070486623940405e-06,"(0.5, 0.75)"
PCDR,523.6322980821316,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,8.633815136903026e-06,"(0.5, 0.75)"
SMDR,446.9399883383615,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,2.9515327205274166e-06,"(0.5, 0.75)"
CADR,381.97423496323376,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,6.146967795413798e-05,"(0.5, 0.75)"
MIDR,456.0679933071374,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,6.09043618468719e-06,"(0.5, 0.75)"
PODR,221.20325619833565,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,4.218750898046257e-05,"(0.5, 0.75)"
SC01,295.22952625543877,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,5.9163540714026236e-05,"(0.5, 0.75)"
SODR,324.08920129183457,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,3.875153921239515e-05,"(0.5, 0.75)"
PRV,1026.5719672983696,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,2.5376251957568504e-07,"(0.75, 1.0)"
SJC,967.7971146244818,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,2.4848824080971886e-07,"(0.75, 1.0)"
SMAR,812.6657090744151,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,2.3933423680416453e-07,"(0.75, 1.0)"
URI,761.389556105398,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,3.507360613197372e-07,"(0.75, 1.0)"
GRTK,409.3608662095451,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,4.412083308360144e-06,"(0.75, 1.0)"
GTBY,247.31773605071447,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,2.233496744099165e-05,"(0.75, 1.0)"
MTDJ,444.2059649860266,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,6.755323330997071e-06,"(0.75, 1.0)"
SDDR,223.97034452759004,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,2.325279310954415e-05,"(0.75, 1.0)"
SC01,295.22942813972355,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,3.608102716912701e-05,"(0.75, 1.0)"
SDD,361.44963360469444,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.860299672271032e-05,"(0.75, 1.0)"
SDV,1098.8152708496646,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,3.9487981893104176e-07,"(0.75, 1.0)"
SJG,761.0432727666753,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,5.378535226003393e-07,"(0.75, 1.0)"
SJG,761.0432727666753,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,5.396707594901183e-07,"(0.75, 1.0)"
SABA,1072.8768161119392,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.897278529164397e-07,"(0.75, 1.0)"
SMRT,1086.2665230229065,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.910991044668293e-07,"(0.75, 1.0)"
OBIP,713.448183212566,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,5.096092251209968e-07,"(0.75, 1.0)"
PCDR,523.6322980821316,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,3.452401200930764e-06,"(0.75, 1.0)"
SMDR,446.9399883383615,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,2.1047045001160454e-06,"(0.75, 1.0)"
CADR,381.97423496323376,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,2.3152713208302466e-05,"(0.75, 1.0)"
MIDR,456.0679933071374,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,2.6580471381759795e-06,"(0.75, 1.0)"
PODR,221.20325619833565,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.6065039432894754e-05,"(0.75, 1.0)"
SC01,295.22952625543877,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,3.609140900821849e-05,"(0.75, 1.0)"
SODR,324.08920129183457,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,2.714291166182379e-05,"(0.75, 1.0)"
PRV,1026.5719672983696,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.371668807672024e-07,"(1.0, 1.25)"
SJC,967.7971146244818,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.321267823487718e-07,"(1.0, 1.25)"
SMAR,812.6657090744151,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.2261097834029902e-07,"(1.0, 1.25)"
URI,761.389556105398,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.6147788138590247e-07,"(1.0, 1.25)"
GRTK,409.3608662095451,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,2.7415473542290042e-06,"(1.0, 1.25)"
GTBY,247.31773605071447,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,6.937012315772494e-06,"(1.0, 1.25)"
MTDJ,444.2059649860266,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,3.596055449246628e-06,"(1.0, 1.25)"
SDDR,223.97034452759004,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.3308867140629127e-05,"(1.0, 1.25)"
SC01,295.22942813972355,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.0050102460617776e-05,"(1.0, 1.25)"
SDD,361.44963360469444,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,6.5353364975310055e-06,"(1.0, 1.25)"
SDV,1098.8152708496646,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.9926047379973796e-07,"(1.0, 1.25)"
SJG,761.0432727666753,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,2.828457925378041e-07,"(1.0, 1.25)"
SJG,761.0432727666753,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,2.8400938930529505e-07,"(1.0, 1.25)"
SABA,1072.8768161119392,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,7.834288711393881e-08,"(1.0, 1.25)"
SMRT,1086.2665230229065,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.2761416859179926e-07,"(1.0, 1.25)"
OBIP,713.448183212566,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.7197996239201373e-07,"(1.0, 1.25)"
PCDR,523.6322980821316,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.894642965588655e-06,"(1.0, 1.25)"
SMDR,446.9399883383615,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.181205107303296e-06,"(1.0, 1.25)"
CADR,381.97423496323376,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,6.637366237911133e-06,"(1.0, 1.25)"
MIDR,456.0679933071374,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.0724312179863541e-06,"(1.0, 1.25)"
PODR,221.20325619833565,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,8.684925565118787e-06,"(1.0, 1.25)"
SC01,295.22952625543877,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,1.0056051607551069e-05,"(1.0, 1.25)"
SODR,324.08920129183457,2022-01-24T13:16:23.425000Z,"[18.4578, -73.3389, 10.0]",5.3,mww,2.036086858719602e-05,"(1.0, 1.25)"
